request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
s10-r2,The confirmation email never arrived.,496.49462499999686,171.74985158264462,42229.88254099999,126287.408959,5.513249999992809,11,244,5.777899092262598,4.0,0.0,0.011843303978135489,
1-r2,What is PagedAttention in one sentence?,481.9029589999957,168.2895743333335,9236.432209000015,168525.837959,24.804334000009476,15,53,5.738146375215811,4.0,0.0,0.01609474643182507,
s15,My payment keeps failing—what can I try?,490.8234170000014,171.80079764143431,43795.71020899999,142844.79241700002,6.3130839999985255,15,253,5.7768214921654275,4.0,0.0,0.01609474643182507,
s14,How do I change the language settings?,457.8266250000098,170.9655500793269,71749.162625,119273.972084,39.22775000000911,13,418,5.825851964080675,4.0,0.0,0.010628606134224117,
s2,I forgot my password and can't log in. What should I do?,641.1332920000063,170.07333707784434,29218.225292,162307.86591700002,19.25837499999261,21,169,5.784061088962597,4.0,0.0,0.00728818706346801,
s11-r2,Is there a way to export my account data?,463.4389580000118,171.0358919460582,41860.009042000005,157587.202625,24.170792000006713,15,243,5.80506324678973,4.0,0.0,0.006984512602490112,
3-r2,Write a haiku about GPU memory bandwidth.,478.897499999988,173.01317461904713,4287.982916999994,199461.034834,7.998833999977251,15,23,5.363827339147031,4.0,0.0,0.009413908290312745,
s12-r2,I need help cancelling my subscription.,499.051417000004,171.63433282208584,28645.674874999997,177768.77375000002,7.242583999982344,14,165,5.760031862401706,4.0,0.0,0.007591861524445798,
2-r2,Explain the difference between TTFT and TPOT.,480.9581250000008,168.95567105859365,43918.15212500001,186663.19558400003,14.995375000012245,18,258,5.874564104283793,4.0,0.0,0.01609474643182507,
s4,How do I update my billing information?,468.40516700001444,168.30226793749992,24874.813750000016,206428.640959,12.082999999989852,14,146,5.869390680362377,4.0,0.0,0.013665350744002436,
s3,The app keeps crashing when I try to open it.,469.8062079999943,169.24493518518523,41764.77291699999,191537.14808400001,5.360291999977562,17,245,5.866187767544999,4.0,0.0,0.01032493167324633,
s13-r2,Why is the search function returning no results?,496.04154100001097,169.04063587951805,42759.51708300002,191029.427959,7.031083000015315,14,251,5.870038230618618,4.0,0.0,0.005466140297600952,
5-r2,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,503.66220899999803,166.8551904086022,16191.952584000006,233798.015959,12.288874999995869,23,95,5.867112042674443,4.0,0.0,0.012754327361068962,
s5,Do you offer refunds for accidental purchases?,467.43908300001635,167.8041249999998,12214.119582999985,250001.35216700003,16.74433299999123,15,71,5.8129445612125945,4.0,0.0,0.018524142119647702,
s15-r2,My payment keeps failing—what can I try?,478.5719159999928,167.83634445816747,42779.038583000016,231310.119625,2.8367909999928997,15,253,5.914111405498949,4.0,0.0,0.02034618888551476,
s14-r2,How do I change the language settings?,466.5774160000069,167.92916195913463,70455.85900000003,203763.64808400001,14.605665999994244,13,418,5.932792615586446,3.0,0.0,0.012146978439113276,
s13,Why is the search function returning no results?,481.2253329999976,168.03914343902443,48882.21475,233306.146667,4.065332999999782,14,289,5.912170745086791,4.0,0.0,0.01153962951715759,
s6,The live chat agent disconnected. Can you reconnect me?,543.4745419999558,171.5107038936171,8774.868583,274227.063209,8.763332999990325,18,49,5.584129213619244,4.0,0.0,0.011235955056179803,
4-r2,What is continuous batching and why does it improve GPU utilization?,519.0167089999989,168.3815467403844,53232.90362499998,230613.697959,19.991209000011168,19,314,5.898607414165831,4.0,0.0,0.005466140297600952,
s1-r2,My order hasn't arrived yet. Can you check the status?,569.6484580000174,164.83677633333306,24445.52679200001,262222.085292,8.980791999988469,19,146,5.972462824887031,3.0,0.0,0.003947767992711793,
s2-r2,I forgot my password and can't log in. What should I do?,630.5562079999731,110.4446589341317,19185.189417000005,282200.90499999997,16.240832999983468,21,169,8.808878365842405,2.0,0.0,0.008199210446401484,
2,Explain the difference between TTFT and TPOT.,490.51937499996257,116.12199528125005,30296.262499999953,274110.65220899996,15.951250000000528,18,258,8.515901920245126,1.0,0.0,0.004251442453689691,
s3-r2,The app keeps crashing when I try to open it.,484.3166250000195,97.11088271604933,24160.518749999996,283010.159042,13.602333999983784,17,245,10.140510745449125,0.0,0.0,0.0,
