request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
3-r2,Write a haiku about GPU memory bandwidth.,1214.4711669999992,222.71059659090818,6345.504083999998,138987.441875,483.417333999995,15,24,3.7822054295915266,9.0,0.0,0.06589891234804868,
s2,I forgot my password and can't log in. What should I do?,691.5002089999973,231.85186742424236,39174.75320899999,108707.291958,106.14724999999225,21,167,4.2629496377180365,9.0,0.0,0.06333973128598847,
s8-r2,How do I activate two-factor authentication?,761.6066669999952,230.3173120985574,96795.775334,52985.480833,30.809499999996603,14,418,4.31837028586903,9.0,0.0,0.049264235444657745,
s15,My payment keeps failing—what can I try?,769.2177499999957,227.8433334548104,79142.781667,86577.45837499999,23.465833000003045,15,345,4.359209933403869,9.0,0.0,0.06461932181701857,
s11-r2,Is there a way to export my account data?,770.3182919999989,227.43679445348806,79235.60062499999,90275.355291,21.17908399999635,15,346,4.3667240138371834,9.0,0.0,0.05758157389635321,
2-r2,Explain the difference between TTFT and TPOT.,796.3359590000039,228.69175117370895,49733.55541699999,122082.886375,46.066334000002485,18,215,4.323036995792752,9.0,0.0,0.05310300703774795,
s7-r3,I was double charged this month. Why?,767.4312090000086,229.3460123922414,54179.215084,118192.289666,23.226500000006922,14,234,4.318999447245664,9.0,0.0,0.044785668586052485,
s13-r2,Why is the search function returning no results?,703.4478340000021,229.48343728999993,46828.35962499999,128974.81333299998,36.358917000001156,14,202,4.313625367568062,9.0,0.0,0.04222648752399227,
s3,The app keeps crashing when I try to open it.,906.5294579999943,224.3448601527272,62818.114832999985,131452.234958,164.71620799998732,17,277,4.409556076879988,9.0,0.0,0.06461932181701857,
s9-r3,Where can I download my previous invoices?,709.4429169999898,221.86745993269227,47086.33037499999,147956.948916,31.405207999995355,15,210,4.4598931011939165,9.0,0.0,0.05822136916186815,
1-r3,What is PagedAttention in one sentence?,745.5082500000003,215.98715126086918,10906.900291,195062.36437499998,34.0343750000045,15,48,4.400883726754883,9.0,0.0,0.07613563659628919,
s10-r3,The confirmation email never arrived.,912.2114170000089,219.01565251572325,35973.213875,171832.639041,22.817750000001524,11,161,4.47555229731333,9.0,0.0,0.07293666026871404,
s4,How do I update my billing information?,765.8391669999958,221.21807350950576,59177.582417,149825.804791,34.106249999979354,14,265,4.478047077568232,8.0,0.0,0.060780550223928365,
5-r2,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,727.8648749999945,221.43546841935475,14686.556332999999,194314.914708,35.22408300000279,23,64,4.357726791010567,8.0,0.0,0.060780550223928365,
s14-r2,How do I change the language settings?,758.7348749999876,222.18470497192985,64295.86533400001,145360.306458,33.027291999985664,13,287,4.463739596770506,9.0,0.0,0.051823416506717845,
s5,Do you offer refunds for accidental purchases?,715.4555829999936,216.83909602173935,10906.938166000004,207840.03612499998,25.99658299999419,15,48,4.400868444420957,9.0,0.0,0.06525911708253362,
4-r2,What is continuous batching and why does it improve GPU utilization?,704.966541999994,221.08705199579813,53556.47637499999,165765.35995800002,30.462749999998096,19,240,4.481250751440984,9.0,0.0,0.05566218809980805,
s1-r2,My order hasn't arrived yet. Can you check the status?,614.6371670000121,220.77718938181815,12972.677457999993,209041.28875,25.209749999987707,19,57,4.39385008873779,9.0,0.0,0.05822136916186815,
s8-r3,How do I activate two-factor authentication?,767.0099160000063,224.15439002403826,94235.928791,130478.88758299999,170.2991660000066,14,418,4.435675494078869,9.0,0.0,0.04670505438259753,
s12-r3,I need help cancelling my subscription.,761.5120410000031,219.5994238765432,18790.342916000016,209661.137083,4.6506250000106775,14,83,4.417162601610923,9.0,0.0,0.0499040307101728,
3-r3,Write a haiku about GPU memory bandwidth.,717.4092500000029,219.92063445454517,5768.686333000005,224756.09125,21.998040999989144,15,24,4.160392611868498,9.0,0.0,0.053742802303263004,
s13,Why is the search function returning no results?,624.5784999999842,220.35011964980558,57496.076458,175943.26462499998,32.814041999984056,14,259,4.5046552035458545,9.0,0.0,0.047344849648112586,
s6,The live chat agent disconnected. Can you reconnect me?,771.0576249999974,230.83929230769215,16114.06820900001,219337.465041,41.66645899999821,18,67,4.1578575398222055,8.0,0.0,0.04670505438259753,
s14-r3,How do I change the language settings?,800.4360420000012,223.6585748526314,64802.167499999996,172381.921458,11.40908299998955,13,287,4.4288642042721795,7.0,0.0,0.035828534868841966,
s15-r2,My payment keeps failing—what can I try?,756.2479999999994,225.9296478367348,78492.28112500001,169536.72420799997,31.509207999988575,15,345,4.39533665037181,6.0,0.0,0.03454894433781186,
2-r3,Explain the difference between TTFT and TPOT.,613.5201669999901,217.66425586854453,47164.710583000015,209041.883875,41.67383300000438,18,215,4.558492935552843,5.0,0.0,0.03710812539987207,
s2-r2,I forgot my password and can't log in. What should I do?,748.535333999996,213.16361944242425,36099.82929199998,222040.15445799998,23.300124999991567,21,167,4.626060656663785,4.0,0.0,0.031349968010236706,
2,Explain the difference between TTFT and TPOT.,890.2396660000136,200.18360915492948,43663.61666600002,218781.35408299998,22.533207999998695,18,215,4.924008051019195,3.0,0.0,0.026871401151631447,
s13-r3,Why is the search function returning no results?,763.635832999995,182.38131979000008,37361.751750000025,228493.949666,168.83537499998624,14,202,5.406598741719862,2.0,0.0,0.021753039027511245,
s11-r3,Is there a way to export my account data?,642.340125000004,185.6156774447676,64615.12554100002,206090.790541,30.518999999998186,15,346,5.354783374682972,1.0,0.0,0.010236724248240514,
s3-r2,The app keeps crashing when I try to open it.,672.0341669999925,158.9892166654548,44513.41074999999,230625.00404099998,31.138958000013872,17,277,6.22284375276725,0.0,0.0,0.0,
